"Novads","Statuss","DzNor","DzDekl","DzReg","NavSpeka","Kopa"
"GULBENES NOVADS","PĀRĒJIE",0,154,0,0,154
"IECAVAS NOVADS","LATVIJAS PILSONIS",0,7870,0,108,7978
"IECAVAS NOVADS","LATVIJAS PAGAIDU AIZSARDZĪBA",0,0,0,0,0
"IECAVAS NOVADS","LATVIJAS NEPILSONIS",0,847,0,29,876
"IECAVAS NOVADS","LATVIJAS BĒGLIS",0,0,0,0,0
"IECAVAS NOVADS","LATVIJAS BEZVALSTNIEKS",0,0,0,0,0
"IECAVAS NOVADS","LATVIJAS ALTERNATĪVAIS",0,0,0,0,0
"IECAVAS NOVADS","PĀRĒJIE",2,203,0,3,208
"IKŠĶILES NOVADS","LATVIJAS PILSONIS",3,9475,1,78,9557
"IKŠĶILES NOVADS","LATVIJAS PAGAIDU AIZSARDZĪBA",0,0,0,0,0
"IKŠĶILES NOVADS","LATVIJAS NEPILSONIS",0,265,0,16,281
"IKŠĶILES NOVADS","LATVIJAS BĒGLIS",0,0,0,0,0
"IKŠĶILES NOVADS","LATVIJAS BEZVALSTNIEKS",0,1,0,0,1
"IKŠĶILES NOVADS","LATVIJAS ALTERNATĪVAIS",0,0,0,0,0
"IKŠĶILES NOVADS","PĀRĒJIE",0,138,0,11,149
"ILŪKSTES NOVADS","LATVIJAS PILSONIS",0,6814,0,43,6857
"ILŪKSTES NOVADS","LATVIJAS PAGAIDU AIZSARDZĪBA",0,0,0,0,0
"ILŪKSTES NOVADS","LATVIJAS NEPILSONIS",0,535,0,4,539
"ILŪKSTES NOVADS","LATVIJAS BĒGLIS",0,0,0,0,0
"ILŪKSTES NOVADS","LATVIJAS BEZVALSTNIEKS",0,2,0,0,2
"ILŪKSTES NOVADS","LATVIJAS ALTERNATĪVAIS",0,0,0,0,0
"ILŪKSTES NOVADS","PĀRĒJIE",0,116,0,0,116
"INČUKALNA NOVADS","LATVIJAS PILSONIS",0,6514,2,138,6654
"INČUKALNA NOVADS","LATVIJAS PAGAIDU AIZSARDZĪBA",0,0,0,0,0
"INČUKALNA NOVADS","LATVIJAS NEPILSONIS",0,1119,1,53,1173
"INČUKALNA NOVADS","LATVIJAS BĒGLIS",0,0,0,0,0
"INČUKALNA NOVADS","LATVIJAS BEZVALSTNIEKS",0,0,0,0,0
"INČUKALNA NOVADS","LATVIJAS ALTERNATĪVAIS",0,0,0,0,0
"INČUKALNA NOVADS","PĀRĒJIE",2,276,0,6,284
"JAUNJELGAVAS NOVADS","LATVIJAS PILSONIS",1,5301,1,40,5343
"JAUNJELGAVAS NOVADS","LATVIJAS PAGAIDU AIZSARDZĪBA",0,0,0,0,0
"JAUNJELGAVAS NOVADS","LATVIJAS NEPILSONIS",0,322,1,43,366
"JAUNJELGAVAS NOVADS","LATVIJAS BĒGLIS",0,0,0,0,0
"JAUNJELGAVAS NOVADS","LATVIJAS BEZVALSTNIEKS",0,0,0,0,0
"JAUNJELGAVAS NOVADS","LATVIJAS ALTERNATĪVAIS",0,0,0,0,0
"JAUNJELGAVAS NOVADS","PĀRĒJIE",0,35,0,0,35
"JAUNPIEBALGAS NOVADS","LATVIJAS PILSONIS",0,2224,2,18,2244
"JAUNPIEBALGAS NOVADS","LATVIJAS PAGAIDU AIZSARDZĪBA",0,0,0,0,0
"JAUNPIEBALGAS NOVADS","LATVIJAS NEPILSONIS",0,37,0,1,38
"JAUNPIEBALGAS NOVADS","LATVIJAS BĒGLIS",0,0,0,0,0
"JAUNPIEBALGAS NOVADS","LATVIJAS BEZVALSTNIEKS",0,0,0,0,0
"JAUNPIEBALGAS NOVADS","LATVIJAS ALTERNATĪVAIS",0,0,0,0,0
"JAUNPIEBALGAS NOVADS","PĀRĒJIE",0,11,0,0,11
"JAUNPILS NOVADS","LATVIJAS PILSONIS",0,2333,0,8,2341
"JAUNPILS NOVADS","LATVIJAS PAGAIDU AIZSARDZĪBA",0,0,0,0,0
"JAUNPILS NOVADS","LATVIJAS NEPILSONIS",0,64,0,1,65
