"Darbinieks","Slodze","Alga"
12157,0.19,107.02
17508,0.19,107.02
498,0.238,107.14
15397,0.238,107.14
21724,0.238,107.14
13680,0.238,107.16
8841,0.19,107.24
17243,0.236,107.29
21237,0.25,107.5
3992,0.238,107.59
15386,0.238,107.59
24410,0.19,107.62
12456,0.266,107.9
18060,0.177,107.98
9753,0.238,108.08
4817,0.255,108.1
22462,0.245,108.29
3259,0.238,108.33
5240,0.19,108.47
4103,0.238,108.55
4947,0.19,108.57
15033,0.259,108.58
18526,0.231,108.68
492,0.236,108.9
2584,0.19,108.92
5622,0.256,109.02
24252,0.26,109.2
15921,0.261,109.6
5825,0.2,110
8753,0.2,110
8804,0.238,110
7545,0.19,110.39
13838,0.19,110.48
16264,0.19,110.48
14441,0.249,110.74
13978,0.209,110.95
3430,0.266,111.4
6204,0.233,111.44
10537,0.251,111.48
17643,0.234,111.52
1351,0.238,111.9
3008,0.238,111.9
3497,0.238,111.9
6278,0.238,111.9
11333,0.238,111.9
13443,0.238,111.9
22683,0.238,111.9
20456,0.236,111.96
23048,0.267,112.14
24973,0.227,112.2
8614,0.19,112.31
11218,0.19,112.31
2051,0.19,112.38
19478,0.238,112.59
5504,0.238,112.62
24455,0.255,112.65
3550,0.19,112.91
24055,0.19,112.95
12023,0.218,113.16
19499,0.25,114.21
9062,0.265,114.58
3377,0.254,114.77
20326,0.238,115
25147,0.236,115.11
18894,0.285,115.43
14683,0.21,115.58
1378,0.286,115.71
3279,0.286,115.71
3390,0.286,115.71
6022,0.286,115.71
6761,0.286,115.71
7449,0.286,115.71
16759,0.286,115.71
17267,0.286,115.71
20201,0.286,115.71
23851,0.256,115.77
7941,0.257,115.79
12859,0.213,116.22
13566,0.276,116.63
158,0.238,116.67
18715,0.238,116.67
19762,0.238,116.67
11672,0.258,116.73
4666,0.25,116.75
24459,0.262,117.07
6226,0.24,117.37
21490,0.25,117.5
25524,0.259,117.82
17177,0.24,117.84
23736,0.236,117.86
20553,0.227,117.87
344,0.286,118
7787,0.286,118
8152,0.286,118
11215,0.236,118.35
17700,0.213,118.43
8101,0.227,118.55
4575,0.285,118.57
4849,0.263,118.86
23545,0.238,118.96
7886,0.286,119
3290,0.184,119.05
8964,0.238,119.49
2060,0.238,120
4024,0.286,120
4848,0.238,120
5152,0.286,120
5470,0.285,120
5514,0.286,120
8552,0.286,120
9043,0.285,120
10034,0.286,120
12035,0.286,120
12466,0.286,120
23153,0.286,120
25229,0.286,120
25330,0.286,120
24445,0.257,120.68
24920,0.2,121
19611,0.286,121.15
9173,0.238,121.21
19465,0.25,121.25
8540,0.267,121.33
24667,0.19,121.42
15683,0.238,121.43
161,0.267,121.44
2328,0.227,121.46
13626,0.3,121.5
12053,0.238,121.67
25465,0.271,121.68
16044,0.25,121.72
25097,0.241,121.72
9301,0.2,121.78
19723,0.29,121.8
10564,0.283,121.83
1349,0.19,121.9
19459,0.286,122
23073,0.254,122.35
17057,0.238,122.62
10709,0.238,122.64
6880,0.236,122.78
7196,0.19,122.99
17982,0.278,123.05
8538,0.19,123.21
5974,0.238,123.29
18981,0.245,123.33
8644,0.273,123.36
3725,0.2,123.37
21678,0.19,123.41
5352,0.256,123.48
15607,0.238,123.72
22109,0.28,123.76
3429,0.238,123.81
21166,0.3,123.9
12999,0.19,124.16
8338,0.23,124.2
24960,0.272,124.25
5745,0.236,124.61
12893,0.297,124.76
8906,0.25,124.92
17365,0.298,125
2027,0.261,125.17
5526,0.275,125.32
4147,0.228,125.65
23732,0.238,125.67
17344,0.286,125.71
19016,0.286,125.71
20551,0.242,125.97
5364,0.3,126
6048,0.285,126
6897,0.286,126
11930,0.3,126
14998,0.286,126
17271,0.3,126
17918,0.3,126
20214,0.286,126
19638,0.286,126.29
3511,0.312,126.46
11479,0.238,126.64
23341,0.227,126.93
2803,0.286,126.98
23202,0.262,126.99
13275,0.238,127.04
17703,0.287,127.12
18833,0.248,127.12
17427,0.238,127.35
21994,0.245,127.38
10575,0.285,127.43
413,0.3,127.5
1221,0.236,127.54
5793,0.298,127.54
22178,0.238,127.68
19964,0.224,128.15
6349,0.262,128.17
10452,0.305,128.2
2769,0.286,128.29
3498,0.286,128.29
19798,0.238,128.34
9754,0.238,128.57
12902,0.286,128.57
20780,0.3,129
4762,0.286,129.11
9221,0.286,129.11
16079,0.286,129.11
17329,0.286,129.11
24442,0.286,129.11
23446,0.313,129.21
1327,0.283,129.24
10774,0.26,129.24
12176,0.308,129.5
4346,0.238,129.51
3157,0.286,130
6662,0.286,130
9387,0.31,130
12894,0.286,130
14017,0.25,130
24886,0.286,130
6446,0.299,130.21
4501,0.273,130.27
6801,0.256,130.37
5932,0.5,130.5
21194,0.227,130.56
1944,0.278,131.06
14361,0.323,131.14
21990,0.312,131.2
2922,0.313,131.4
3422,0.313,131.4
20911,0.313,131.4
4818,0.286,131.43
9429,0.286,131.43
9579,0.31,131.43
17185,0.286,131.43
23770,0.298,131.43
477,0.313,131.44
2140,0.3,132
17082,0.295,132
17198,0.286,132
23745,0.287,132.09
6105,0.285,132.1
14866,0.29,132.17
17282,0.293,132.22
15467,0.177,132.25
4168,0.286,132.29
5702,0.286,132.29
13965,0.286,132.29
25242,0.286,132.29
14470,0.252,132.51
16963,0.286,132.57
9562,0.309,132.69
24588,0.197,132.95
9596,0.236,133.14
15013,0.317,133.3
20222,0.313,133.3
23825,0.317,133.32
18955,0.267,133.33
13694,0.3,133.46
16542,0.236,133.94
14903,0.325,134.23
12866,0.285,134.28
22434,0.286,134.28
1675,0.286,134.29
1927,0.286,134.29
3248,0.286,134.29
4890,0.286,134.29
6412,0.286,134.29
7522,0.286,134.29
13940,0.286,134.29
14186,0.286,134.29
18349,0.286,134.29
19534,0.286,134.29
20227,0.286,134.29
20694,0.286,134.29
24056,0.286,134.29
24930,0.286,134.29
11334,0.3,134.4
13575,0.267,134.4
719,0.256,134.5
10132,0.313,134.53
5066,0.333,135
14524,0.3,135
16189,0.286,135.04
15661,0.328,135.33
17986,0.313,135.47
1175,0.133,135.67
190,0.334,135.71
2749,0.299,135.78
23112,0.286,136
12877,0.274,136.07
9929,0.238,136.16
5468,0.218,136.44
9877,0.3,136.5
24836,0.3,136.5
4799,0.572,136.72
5338,0.236,136.77
20793,0.318,136.78
14899,0.225,137.1
22909,0.286,137.14
11402,0.302,137.44
20942,0.267,137.6
18844,0.29,137.67
1119,0.286,137.68
20236,0.279,137.73
20358,0.227,137.79
24027,0.289,137.84
18228,0.314,137.99
12977,0.326,138.02
13625,0.238,138.1
25406,0.306,138.27
19201,0.286,138.28
1952,0.285,138.45
10605,0.3,138.6
24817,0.19,138.63
8828,0.285,138.84
14761,0.286,138.85
8721,0.32,138.88
24796,0.25,138.91
12935,0.285,139.38
17874,0.311,139.76
2696,0.286,139.79
689,0.21,139.9
1080,0.333,140
3175,0.333,140
5402,0.333,140
6385,0.333,140
9320,0.333,140
9720,0.333,140
11352,0.333,140
13710,0.286,140
17027,0.333,140
18276,0.333,140.02
2528,0.313,140.16
16969,0.335,140.64
24241,0.267,140.8
1012,0.3,141
16523,0.3,141
17265,0.286,141.14
5954,0.225,141.25
8735,0.272,141.41
3590,0.286,141.6
9093,0.286,141.6
16715,0.283,141.71
6919,0.373,141.75
29,0.302,141.8
6630,0.283,142.2
4345,0.279,142.38
5158,0.25,142.5
2029,0.286,142.6
22959,0.333,142.67
3911,0.34,142.8
19482,0.34,142.8
12827,0.236,142.84
24915,0.286,142.86
17941,0.34,142.88
6520,0.318,142.93
2028,0.34,143
9302,0.33,143.22
23003,0.33,143.22
13956,0.286,143.32
24068,0.314,143.36
12719,0.286,143.4
16231,0.286,143.4
15307,0.3,143.55
8766,0.326,143.63
495,0.284,143.75
20247,0.104,143.83
23187,0.236,143.96
1308,0.286,144
16570,0.3,144
22088,0.267,144
5512,0.302,144.22
9447,0.286,144.29
14729,0.311,144.39
7966,0.32,144.53
20306,0.3,144.56
5259,0.25,145
18771,0.25,145
20627,0.25,145
