VIĻAKAS NOVADS,14,225,2,0,241
 T.SK. VĪRIEŠI,10,111,2,0,123
 T.SK. SIEVIETES,4,114,0,0,118
 7-18(NEIESKAITOT) GADU VECUMĀ,2,599,0,2,603
 T.SK. VĪRIEŠI,1,309,0,1,311
 T.SK. SIEVIETES,1,290,0,1,292
Kopā,16,824,2,2,844
VIĻĀNU NOVADS,6,342,0,0,348
 T.SK. VĪRIEŠI,4,164,0,0,168
 T.SK. SIEVIETES,2,178,0,0,180
 7-18(NEIESKAITOT) GADU VECUMĀ,0,646,0,0,646
 T.SK. VĪRIEŠI,0,304,0,0,304
 T.SK. SIEVIETES,0,342,0,0,342
Kopā,6,988,0,0,994
ZILUPES NOVADS,4,148,0,0,152
 T.SK. VĪRIEŠI,1,78,0,0,79
 T.SK. SIEVIETES,3,70,0,0,73
 7-18(NEIESKAITOT) GADU VECUMĀ,1,371,0,0,372
 T.SK. VĪRIEŠI,1,191,0,0,192
 T.SK. SIEVIETES,0,180,0,0,180
Kopā,5,519,0,0,524
